time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/clip_range,train/explained_variance,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
2899968,3187,1416,909,0.000105104,0.17018045345321298,-4.226951882243156,-0.007870005210861564,5660,0.0044409083,0.04231664538383484,0.15,0.974169135093689,0.05859375,790.91,36.623677459999996
2902016,3189,1417,909,0.00010500160000000001,0.13032279908657074,-4.271415829658508,-0.008528023652615957,5664,0.0058337795,-0.002552248537540436,0.15,0.9786927103996277,0.0821533203125,790.91,36.623677459999996
2904064,3192,1418,909,0.0001048992,0.15616549528203905,-4.324298590421677,-0.007825359571143053,5668,0.005796156,0.01776605099439621,0.15,0.9680963158607483,0.07421875,793.64,36.657503059999996
2906112,3194,1419,909,0.00010479679999999999,0.10326164728030562,-4.311532601714134,-0.008328026800882071,5672,0.0045259655,-0.008211702108383179,0.15,0.9738273620605469,0.077392578125,792.87,36.70911885
2908160,3196,1420,909,0.0001046944,0.10256424616090953,-4.2879180163145065,-0.008698197547346354,5676,0.005843972,-0.014920029789209366,0.15,0.9884527921676636,0.097900390625,794.84,36.82202265
2910208,3198,1421,909,0.00010459199999999999,0.0985954103525728,-4.269453555345535,-0.008558635978261009,5680,0.005999308,-0.021453894674777985,0.15,0.9830610156059265,0.0687255859375,794.84,36.82202265
2912256,3201,1422,909,0.0001044896,0.10222140443511307,-4.345232307910919,-0.007862288388423622,5684,0.0050852676,-0.01346343383193016,0.15,0.9717473387718201,0.0703125,798.61,36.92247879000001
2914304,3203,1423,909,0.00010438720000000002,0.14811716508120298,-4.4200548231601715,-0.006900477485032752,5688,0.0047961758,0.020169463008642197,0.15,0.961677610874176,0.0770263671875,803.65,37.080559900000004
2916352,3205,1424,909,0.00010428480000000001,0.1098842304199934,-4.27000980079174,-0.008012189326109365,5692,0.0053654644,-0.012265000492334366,0.15,0.9795092344284058,0.0733642578125,804.47,37.234061180000005
2918400,3207,1425,909,0.00010418240000000001,0.1600605812855065,-4.368539288640022,-0.008292606478789821,5696,0.005354582,0.0052849650382995605,0.15,0.9706292152404785,0.0638427734375,800.1,37.0360151
2920448,3209,1426,909,0.00010408,0.14058096683584154,-4.27031135559082,-0.007177877181675285,5700,0.0052651307,0.013330891728401184,0.15,0.9809962511062622,0.0601806640625,801.33,36.94873957
2922496,3211,1427,909,0.00010397760000000001,0.15320123545825481,-4.199065148830414,-0.008437973316176794,5704,0.004502618,0.0015177130699157715,0.15,0.9747955203056335,0.065185546875,804.16,37.04401636
2924544,3214,1428,909,0.0001038752,0.09760384052060544,-4.282691940665245,-0.00852362415753305,5708,0.00885144,-0.015693794935941696,0.15,0.9871098399162292,0.0928955078125,804.73,37.09213826
2926592,3216,1429,909,0.0001037728,0.10125944297760725,-4.279013857245445,-0.009165018564090133,5712,0.004633981,-0.012466244399547577,0.15,0.9803018569946289,0.07568359375,802.7,37.09669129
2928640,3218,1430,909,0.0001036704,0.15083583095110953,-4.2739231288433075,-0.009077200273168273,5716,0.0052678506,0.022906940430402756,0.15,0.9780303835868835,0.0731201171875,802.87,37.09269933
2930688,3220,1431,909,0.000103568,0.14361265348270535,-4.154463917016983,-0.00823863442928996,5720,0.0060044713,-0.011096488684415817,0.15,0.9793267846107483,0.0809326171875,802.87,37.09269933
2932736,3223,1432,909,0.00010346559999999999,0.13507119147107005,-4.229467749595642,-0.008281299844384193,5724,0.0051459735,0.004558499902486801,0.15,0.9798825979232788,0.0791015625,802.8,37.087244809999994
2934784,3225,1433,909,0.00010336319999999999,0.09658381785266101,-4.278211459517479,-0.008944656292442232,5728,0.006272234,-0.017617452889680862,0.15,0.9860296249389648,0.0811767578125,801.09,37.08229127
2936832,3228,1434,909,0.00010326080000000001,0.10061884229071438,-4.216249004006386,-0.007855556003050879,5732,0.0045748707,-0.004933293908834457,0.15,0.9826512932777405,0.064453125,804.42,37.19438913
2938880,3230,1435,909,0.00010315840000000002,0.13294226652942598,-4.305433660745621,-0.007590954366605729,5736,0.0054959366,0.01483803242444992,0.15,0.9714659452438354,0.06396484375,803.29,37.18101908999999
2940928,3232,1436,909,0.00010305600000000001,0.12232493772171438,-4.230864062905312,-0.006656352066784166,5740,0.004344551,-0.008050970733165741,0.15,0.9861499071121216,0.0576171875,802.16,37.22946736999999
2942976,3234,1437,909,0.0001029536,0.12074254569597542,-4.156008720397949,-0.008883720554877073,5744,0.006212963,-0.0039751119911670685,0.15,0.9821239709854126,0.0830078125,800.39,37.26071586999999
2945024,3237,1438,909,0.00010285120000000001,0.14411178976297379,-4.229711323976517,-0.006734487775247544,5748,0.005490908,0.010778315365314484,0.15,0.9662930965423584,0.066162109375,798.97,37.204903089999995
2947072,3239,1439,909,0.0001027488,0.1441667526960373,-4.3098004758358,-0.009851859125774354,5752,0.005666342,0.0016399174928665161,0.15,0.9777669310569763,0.078857421875,800.44,37.250356
2949120,3241,1440,909,0.00010264640000000001,0.10563891427591443,-4.1987366527318954,-0.007265162072144449,5756,0.004431654,-0.0010988563299179077,0.15,0.9833927154541016,0.05419921875,800.2,37.292491119999994
2951168,3243,1441,909,0.000102544,0.11955935368314385,-4.24490886926651,-0.006739494070643559,5760,0.00624213,-0.0050070323050022125,0.15,0.9835212826728821,0.086181640625,801.75,37.32125499
2953216,3245,1442,909,0.00010244159999999999,0.1078861029818654,-4.186437651515007,-0.006704474682919681,5764,0.0048094196,-0.005429558455944061,0.15,0.988797664642334,0.0689697265625,805.46,37.45024386
2955264,3247,1443,909,0.0001023392,0.11952303419820964,-4.178858533501625,-0.008872912731021643,5768,0.004988418,-0.014181457459926605,0.15,0.9827132821083069,0.081787109375,806.37,37.466249250000004
2957312,3250,1444,909,0.00010223679999999999,0.13481477717868984,-4.2542963325977325,-0.007008598273387179,5772,0.0062282854,0.005956243723630905,0.15,0.9720491170883179,0.068359375,806.69,37.65530974
2959360,3252,1445,909,0.00010213439999999998,0.09623455023393035,-4.249934047460556,-0.007498779406887479,5776,0.003957158,-0.02304283156991005,0.15,0.9807972311973572,0.0516357421875,809.67,37.75731845
2961408,3254,1446,909,0.00010203200000000002,0.15028556366451085,-4.322636917233467,-0.011124605633085594,5780,0.00672335,0.011625424027442932,0.15,0.9765080213546753,0.091552734375,804.6,37.603455710000006
2963456,3256,1447,910,0.00010192960000000001,0.12013240484520793,-4.167698681354523,-0.006654606317169964,5784,0.0050287168,-0.0049788206815719604,0.15,0.9865205883979797,0.066162109375,802.31,37.522914289999996
2965504,3258,1448,910,0.00010182720000000001,0.10808005323633552,-4.230140686035156,-0.004015217840787955,5788,0.0035346842,-0.0032204166054725647,0.15,0.9869492650032043,0.075439453125,800.54,37.65762741
2967552,3260,1449,910,0.0001017248,0.11490292218513787,-4.1770036816596985,-0.005989609562675469,5792,0.0042429627,0.00015884637832641602,0.15,0.9840703010559082,0.0516357421875,803.17,37.68995011999999
2969600,3262,1450,910,0.0001016224,0.1408949599135667,-4.270192995667458,-0.00948359290487133,5796,0.00476157,0.017091333866119385,0.15,0.9729511737823486,0.0594482421875,803.6,37.67933942
2971648,3265,1451,910,0.00010152,0.09223672398366034,-4.2382786720991135,-0.00886319691198878,5800,0.0046334863,-0.030518438667058945,0.15,0.9822030663490295,0.080078125,799.32,37.61919074
2973696,3267,1452,910,0.0001014176,0.0970823229290545,-4.378607600927353,-0.010140736936591566,5804,0.0043426687,-0.027260802686214447,0.15,0.9827312231063843,0.08251953125,798.16,37.61227015
2975744,3269,1453,910,0.0001013152,0.15043181437067688,-4.209136486053467,-0.008240706200012937,5808,0.006367287,0.02376338467001915,0.15,0.9777465462684631,0.0777587890625,796.89,37.52797204
2977792,3271,1454,910,0.0001012128,0.10838611703366041,-4.210283383727074,-0.008434850926278159,5812,0.005228061,-0.01026773452758789,0.15,0.9849960207939148,0.0784912109375,801.34,37.72461389000001
2979840,3273,1455,910,0.00010111039999999999,0.13597313943319023,-4.195582374930382,-0.009457441919948906,5816,0.0051455596,0.011099748313426971,0.15,0.978296160697937,0.112060546875,800.71,37.721974020000005
2981888,3275,1456,910,0.00010100799999999999,0.16336222388781607,-4.26535926759243,-0.007442431087838486,5820,0.0041346243,0.004946768283843994,0.15,0.9659804701805115,0.0616455078125,803.63,37.793053529999995
2983936,3277,1457,910,0.00010090560000000001,0.13278236519545317,-4.217972844839096,-0.005677378343534656,5824,0.0044949795,0.01187317818403244,0.15,0.9837279319763184,0.0638427734375,798.61,37.33645202
2985984,3279,1458,910,0.00010080320000000002,0.10163656086660922,-4.194690585136414,-0.008936980157159269,5828,0.005628463,-0.01319923996925354,0.15,0.9883739352226257,0.1092529296875,800.24,37.38467903
2988032,3282,1459,910,0.00010070080000000001,0.11969417752698064,-4.2465182691812515,-0.007196634862339124,5832,0.005479759,0.017928440123796463,0.15,0.9802393913269043,0.065185546875,799.19,37.32523834
2990080,3284,1460,910,0.0001005984,0.106295584468171,-4.181837379932404,-0.008026811934541911,5836,0.0045724646,-0.0016521178185939789,0.15,0.9819947481155396,0.063232421875,796.82,37.28806448000001
2992128,3286,1461,910,0.00010049600000000001,0.149867256404832,-4.210854411125183,-0.008296925836475566,5840,0.006118554,-0.004667069762945175,0.15,0.977278470993042,0.0638427734375,794.4,37.18497856
2994176,3288,1462,910,0.0001003936,0.1329461564309895,-4.178718954324722,-0.008212422093492933,5844,0.00610534,0.008111238479614258,0.15,0.9807873368263245,0.0853271484375,791.91,37.12747345
2996224,3290,1463,910,0.00010029119999999999,0.10537619865499437,-4.2394120544195175,-0.006879700449644588,5848,0.0054453136,-0.005006197839975357,0.15,0.9835399985313416,0.07470703125,794.07,37.256001399999995
2998272,3292,1464,910,0.0001001888,0.1249488031025976,-4.139765501022339,-0.008063071727519855,5852,0.005336309,0.01756110042333603,0.15,0.9840934872627258,0.08349609375,785.83,37.227435979999996
3000320,3294,1465,910,0.00010008639999999999,0.13537062495015562,-4.162639811635017,-0.006771422456949949,5856,0.004123454,0.0061303190886974335,0.15,0.9787995219230652,0.0635986328125,781.13,37.11362449
3002368,3296,1466,910,9.9984e-05,0.09935724874958396,-4.210365027189255,-0.00702101580100134,5860,0.004347886,-0.00046344101428985596,0.15,0.9780140519142151,0.0728759765625,781.13,37.11362449
3004416,3298,1467,910,9.988159999999999e-05,0.12723922892473638,-4.269078612327576,-0.0070602475898340344,5864,0.005688724,-0.002479046583175659,0.15,0.9672349691390991,0.0845947265625,778.16,37.000664650000004
3006464,3300,1468,910,9.977920000000001e-05,0.07443922583479434,-4.343533828854561,-0.008301726324134506,5868,0.005209673,-0.022063590586185455,0.15,0.986029326915741,0.0670166015625,777.24,37.06905328
3008512,3302,1469,910,9.967680000000001e-05,0.11557996994815767,-4.201981544494629,-0.010412314615678042,5872,0.004772995,0.0015395544469356537,0.15,0.9858288168907166,0.079833984375,775.8,36.913372249999995
3010560,3304,1470,910,9.95744e-05,0.12174477335065603,-4.29350733757019,-0.008984838335891254,5876,0.004683218,-0.0016062594950199127,0.15,0.9845189452171326,0.058837890625,776.13,36.893284769999994
