time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
2938880,545,5382,1435,5736,0.4422383434139192,0.9473928213119507,-0.042991829657694325,0.15,0.00010315840000000002,0.055751778185367584,0.08474788,-3.347245678305626,0.38037109375,1074.84,71.15088127
2940928,546,5386,1436,5740,0.3637987175025046,0.961185872554779,-0.04295438653207384,0.15,0.00010305600000000001,0.02049741894006729,0.089048535,-3.01754841953516,0.3472900390625,1079.25,71.43997782
2942976,546,5389,1437,5744,0.20952273905277252,0.9721173644065857,-0.0578282009519171,0.15,0.0001029536,-0.06384287029504776,0.13218412,-3.0004749670624733,0.3978271484375,1079.55,71.52427108
2945024,546,5393,1438,5748,0.3620209451764822,0.9236781001091003,-0.04373785201460123,0.15,0.00010285120000000001,-0.013459481298923492,0.11832746,-2.9760231971740723,0.35888671875,1068.8,70.89597912999999
2947072,546,5396,1439,5752,0.30626012617722154,0.948610782623291,-0.04585749398393091,0.15,0.0001027488,-0.01954684406518936,0.09600573,-3.211614303290844,0.35888671875,1068.8,70.89597912999999
2949120,546,5400,1440,5756,0.2804377153515816,0.9169634580612183,-0.054952277831034735,0.15,0.00010264640000000001,-0.014564760029315948,0.1330157,-3.116010218858719,0.38525390625,1065.11,70.77000269999999
2951168,546,5404,1441,5760,0.25878793466836214,0.9046238660812378,-0.052748372341739014,0.15,0.000102544,-0.049208708107471466,0.155167,-3.4419675320386887,0.36767578125,1064.93,70.80762799000001
2953216,546,5408,1442,5764,0.22889689914882183,0.9414646625518799,-0.04090791865019128,0.15,0.00010244159999999999,-0.0629618689417839,0.08967604,-3.4104107171297073,0.368896484375,1064.93,70.80762799000001
2955264,546,5411,1443,5768,0.14959010598249733,0.9661968350410461,-0.05944556265603751,0.15,0.0001023392,-0.07600639760494232,0.14594796,-3.4397923350334167,0.41259765625,1062.84,70.6043099
2957312,546,5416,1444,5772,0.14642414217814803,0.9816384315490723,-0.054323559132171795,0.15,0.00010223679999999999,-0.092052161693573,0.13518852,-3.6517410650849342,0.375732421875,1072.92,70.90407919
2959360,546,5419,1445,5776,0.23069826187565923,0.979560136795044,-0.05107268335996196,0.15,0.00010213439999999998,-0.03340211510658264,0.10245096,-3.3837181851267815,0.36962890625,1076.98,70.88571058000001
2961408,546,5423,1446,5780,0.1991121144965291,0.9816553592681885,-0.05662578210467473,0.15,0.00010203200000000002,-0.07228278368711472,0.12562208,-3.260988436639309,0.384033203125,1075.38,70.66848641
2963456,546,5427,1447,5784,0.19607747462578118,0.9812360405921936,-0.05610529521072749,0.15,0.00010192960000000001,-0.06316399574279785,0.12276551,-2.969232827425003,0.413330078125,1080.37,70.59128735
2965504,546,5430,1448,5788,0.416220816783607,0.9262602925300598,-0.043821565282996744,0.15,0.00010182720000000001,0.01359306275844574,0.116443455,-3.151732422411442,0.36328125,1074.39,70.24390526
2967552,546,5434,1449,5792,0.3022514437325299,0.9373736381530762,-0.051525410322938114,0.15,0.0001017248,-0.04982270300388336,0.1155446,-3.048192210495472,0.3719482421875,1070.23,70.15333634999999
2969600,546,5438,1450,5796,0.3466565259732306,0.9267585277557373,-0.04944233220885508,0.15,0.0001016224,-0.0015043318271636963,0.09603075,-3.0207633450627327,0.3564453125,1070.23,70.15333634999999
2971648,546,5442,1451,5800,0.2146515310741961,0.9469730257987976,-0.05278849700698629,0.15,0.00010152,-0.05323195457458496,0.1099355,-3.255463920533657,0.3785400390625,1070.63,70.38323825999998
2973696,546,5445,1452,5804,0.22514876490458846,0.9615851044654846,-0.058832268114201725,0.15,0.0001014176,-0.05702405422925949,0.15994492,-3.2754928320646286,0.40771484375,1070.63,70.38323825999998
2975744,546,5449,1453,5808,0.1500135101377964,0.968319296836853,-0.053782457194756716,0.15,0.0001013152,-0.0686722919344902,0.10185724,-3.484922133386135,0.3941650390625,1065.68,69.9924224
2977792,546,5453,1454,5812,0.12536942097358406,0.9792405962944031,-0.056941316433949396,0.15,0.0001012128,-0.0961192399263382,0.110455334,-3.659848764538765,0.4134521484375,1067.98,69.9334383
2979840,546,5457,1455,5816,0.15105098439380527,0.9875001311302185,-0.05469710339093581,0.15,0.00010111039999999999,-0.06707825511693954,0.10699354,-3.4003403037786484,0.388427734375,1078.3,70.40012571
2981888,546,5461,1456,5820,0.2886422807350755,0.9696815609931946,-0.04572382656624541,0.15,0.00010100799999999999,0.0010340884327888489,0.08494094,-3.298062175512314,0.3607177734375,1080.25,70.49346782
2983936,546,5464,1457,5824,0.2142807471100241,0.9726895093917847,-0.05534582075779326,0.15,0.00010090560000000001,-0.05906102806329727,0.11429066,-3.0399563685059547,0.3834228515625,1088.67,70.80442050999999
2985984,546,5468,1458,5828,0.42058168491348624,0.9458931684494019,-0.0440880476962775,0.15,0.00010080320000000002,0.025257915258407593,0.09706822,-3.011384464800358,0.3319091796875,1083.68,70.51954027999999
2988032,545,5472,1459,5832,0.3428551941178739,0.9351171255111694,-0.04753408709075302,0.15,0.00010070080000000001,0.00977858155965805,0.10597264,-3.0996329709887505,0.338623046875,1075.66,70.13355829999999
2990080,545,5476,1460,5836,0.21784086129628122,0.9574117660522461,-0.05505365499993786,0.15,0.0001005984,-0.06081131473183632,0.1270555,-3.0138616263866425,0.383056640625,1069.7,69.79211346
