time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/learning_rate,train/clip_range
8824832,10055,4309,877,0.21601366577669978,0.06103515625,-3.484609045088291,0.00526691,0.023534372448921204,-0.016492013965034857,969.57,80.52,0.9656683802604675,17232,2.9430399999999995e-05,0.15
8826880,10058,4310,877,0.3332047495059669,0.0946044921875,-3.525567449629307,0.007295642,0.05719124525785446,-0.012065844726748765,968.39,80.39,0.9402009844779968,17236,2.9379199999999995e-05,0.15
8828928,10060,4311,877,0.3128352779895067,0.0631103515625,-3.506548173725605,0.0045349775,0.0505252480506897,-0.014994759374530986,977.48,81.46,0.9494196176528931,17240,2.9327999999999994e-05,0.15
8830976,10062,4312,877,0.27565944101661444,0.0523681640625,-3.5507723093032837,0.004963388,0.062152303755283356,-0.014225841965526342,972.9,80.79,0.9767436981201172,17244,2.9276799999999994e-05,0.15
8833024,10065,4313,877,0.12534485128708184,0.0545654296875,-3.519350551068783,0.0044608507,-0.007556289434432983,-0.014808808686211705,973.77,80.66,0.9914867877960205,17248,2.922559999999999e-05,0.15
8835072,10067,4314,877,0.17042750865221024,0.05517578125,-3.400828465819359,0.0050755823,0.0033188238739967346,-0.01585137427900918,977.67,80.93,0.981407880783081,17252,2.917439999999999e-05,0.15
8837120,10069,4315,877,0.2930275690741837,0.065673828125,-3.525948755443096,0.005890179,0.0878227949142456,-0.012912495352793485,977.67,80.93,0.9491949677467346,17256,2.912319999999999e-05,0.15
8839168,10072,4316,877,0.35273158410564065,0.059814453125,-3.66910719871521,0.0046346895,0.051887646317481995,-0.011997548725048546,981.85,81.44,0.9416018724441528,17260,2.907199999999999e-05,0.15
8841216,10074,4317,877,0.28686234122142196,0.056640625,-3.6456021890044212,0.0040671173,0.08313551545143127,-0.015308907168218866,978.44,81.12,0.9546537399291992,17264,2.9020800000000015e-05,0.15
8843264,10076,4318,877,0.20468948548659682,0.0611572265625,-3.5947644859552383,0.004943053,0.03512830659747124,-0.013887283304939047,979.34,81.01,0.9692748188972473,17268,2.896960000000001e-05,0.15
8845312,10079,4319,877,0.20647676335647702,0.0439453125,-3.630239985883236,0.0039460296,0.015142247080802917,-0.01610228633217048,979.5,81.02,0.9754534363746643,17272,2.891840000000001e-05,0.15
8847360,10081,4320,877,0.27412312338128686,0.068359375,-3.377082832157612,0.0047446387,0.0419788584113121,-0.01273620073334314,983.78,81.31,0.9628625512123108,17276,2.886720000000001e-05,0.15
8849408,10083,4321,877,0.21147553157061338,0.041748046875,-3.5426477193832397,0.0039113355,0.004905268549919128,-0.013342620542971417,979.37,80.95,0.9815564155578613,17280,2.881600000000001e-05,0.15
8851456,10086,4322,877,0.24371269717812538,0.0452880859375,-3.6117966175079346,0.0052295616,0.01570308953523636,-0.012269008060684428,989.78,81.63,0.9839985966682434,17284,2.8764800000000006e-05,0.15
8853504,10088,4323,877,0.3257737369276583,0.057373046875,-3.4421462267637253,0.0052237445,0.09531655162572861,-0.010425180429592729,990.83,81.76,0.9677587151527405,17288,2.8713600000000006e-05,0.15
8855552,10091,4324,877,0.31799011398106813,0.0758056640625,-3.313342407345772,0.006146405,0.07108083367347717,-0.012147444213042036,990.83,81.76,0.9400985240936279,17292,2.8662400000000005e-05,0.15
8857600,10093,4325,877,0.26681683026254177,0.0869140625,-3.4371361285448074,0.0070800097,0.09582902491092682,-0.013723288415349089,981.07,80.75,0.9427610635757446,17296,2.8611200000000005e-05,0.15
8859648,10095,4326,877,0.30443489318713546,0.0633544921875,-3.5229746624827385,0.00558503,0.08618974685668945,-0.014584412114345469,985.36,81.03,0.9304521083831787,17300,2.856e-05,0.15
8861696,10098,4327,877,0.24689218355342746,0.0703125,-3.5716917887330055,0.0056852545,0.04163740202784538,-0.01249962134170346,984.4,80.87,0.9447090029716492,17304,2.85088e-05,0.15
8863744,10100,4328,877,0.1684117135591805,0.05078125,-3.497357062995434,0.0047871033,0.001367516815662384,-0.016244289436144754,985.83,80.89,0.9754303693771362,17308,2.84576e-05,0.15
8865792,10102,4329,877,0.1975883301347494,0.047607421875,-3.375202350318432,0.0043993243,0.04225454479455948,-0.012203220030642115,987.31,80.82,0.9771137237548828,17312,2.84064e-05,0.15
8867840,10105,4330,877,0.40941964648664,0.078125,-3.5130808278918266,0.006196093,0.10590007156133652,-0.012664428766584024,998.49,82.24,0.9591410160064697,17316,2.83552e-05,0.15
8869888,10107,4331,877,0.34093109611421824,0.092529296875,-3.6740947142243385,0.009592053,0.06621444225311279,-0.011910878180060536,996.47,81.63,0.9771707653999329,17320,2.8303999999999995e-05,0.15
8871936,10110,4332,877,0.22822295408695936,0.05810546875,-3.225722022354603,0.0052277213,0.03257471323013306,-0.014887086683302186,996.47,81.63,0.980176568031311,17324,2.8252799999999995e-05,0.15
8873984,10112,4333,877,0.3434439883567393,0.057373046875,-3.513492129743099,0.0047104782,0.10855260491371155,-0.010662862070603296,996.47,81.63,0.9125110507011414,17328,2.8201599999999994e-05,0.15
8876032,10114,4334,877,0.33467611065134406,0.0582275390625,-3.519511803984642,0.005648761,0.08397164940834045,-0.011119179194793105,991.5,81.06,0.9303147792816162,17332,2.8150399999999994e-05,0.15
8878080,10117,4335,877,0.30182810919359326,0.0308837890625,-3.4045990854501724,0.003363889,0.06335398554801941,-0.012530774081824347,991.5,81.06,0.944446325302124,17336,2.809919999999999e-05,0.15
8880128,10119,4336,877,0.2443325724452734,0.091064453125,-3.4545758813619614,0.0063606673,0.034806136041879654,-0.011581631930312142,988.11,80.71,0.9402090907096863,17340,2.804799999999999e-05,0.15
8882176,10122,4337,877,0.4371325494721532,0.05322265625,-3.3722779378294945,0.005830284,0.13564912974834442,-0.010939692467218265,989.28,80.72,0.9325954914093018,17344,2.799679999999999e-05,0.15
8884224,10124,4338,877,0.33384113386273384,0.0831298828125,-3.6241386085748672,0.006390798,0.13646189868450165,-0.011769554752390832,996.29,81.38,0.9598698616027832,17348,2.794559999999999e-05,0.15
8886272,10127,4339,877,0.23737061396241188,0.054931640625,-3.3360539376735687,0.005075656,0.027953118085861206,-0.014293534666649066,1007.13,82.62,0.9786669611930847,17352,2.7894400000000015e-05,0.15
