time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
866,9168896,10577,4477,0.9969800114631653,0.15,0.0029000137,-0.03460878133773804,2.082880000000001e-05,0.02294921875,-0.00922972205444239,-3.3430254608392715,17904,0.039864832418970764,51.75683516,606.14
866,9170944,10579,4478,0.9980288147926331,0.15,0.0036051262,-0.044262152165174484,2.077760000000001e-05,0.0284423828125,-0.010176119700190611,-3.3387603387236595,17908,0.03013561706757173,51.74774762,605.25
866,9172992,10581,4479,0.9970473051071167,0.15,0.0036350004,-0.029944997280836105,2.0726400000000005e-05,0.029052734375,-0.01122969547577668,-3.113490581512451,17912,0.035883025848306715,51.806594589999996,605.54
866,9175040,10584,4480,0.9952363967895508,0.15,0.00396703,-0.033560559153556824,2.0675200000000005e-05,0.0283203125,-0.010510303356568329,-3.1708975359797478,17916,0.03789793996838853,51.816551819999994,604.94
866,9177088,10586,4481,0.9955739974975586,0.15,0.0037706557,-0.02747909165918827,2.0624000000000004e-05,0.0340576171875,-0.009503828216111287,-3.2007807046175003,17920,0.04215263342484832,51.825596609999984,605.55
866,9179136,10589,4482,0.9975834488868713,0.15,0.003518526,-0.041734397411346436,2.0572800000000004e-05,0.0333251953125,-0.01014165094238706,-3.3506689742207527,17924,0.03211490635294467,51.794944769999994,606.34
866,9181184,10591,4483,0.9983076453208923,0.15,0.0034143026,-0.03772813081741333,2.05216e-05,0.0338134765625,-0.010808330989675596,-3.306666351854801,17928,0.02652508154278621,51.82304101999999,607.94
866,9183232,10594,4484,0.9973979592323303,0.15,0.0031266685,-0.03823674097657204,2.04704e-05,0.022705078125,-0.008695235825143754,-3.122108906507492,17932,0.0321143563487567,51.822141949999995,608.8
866,9185280,10596,4485,0.9969342350959778,0.15,0.0044247247,-0.03773496672511101,2.04192e-05,0.0382080078125,-0.010430122289108112,-3.2056360989809036,17936,0.02757411904167384,51.84208580000001,608.79
866,9187328,10599,4486,0.9966726899147034,0.15,0.0042888746,-0.041755564510822296,2.0368e-05,0.0343017578125,-0.010435877658892423,-3.2363698333501816,17940,0.03500536939827725,51.823083770000004,608.5
866,9189376,10601,4487,0.9960719347000122,0.15,0.003182262,-0.03590310737490654,2.0316799999999995e-05,0.0296630859375,-0.010122474719537422,-3.439142979681492,17944,0.05922263290267438,51.791476759999995,608.34
866,9191424,10604,4488,0.9975127577781677,0.15,0.004239446,-0.03095712512731552,2.0265599999999994e-05,0.0426025390625,-0.011132077837828547,-3.206744261085987,17948,0.03628079121699557,51.77157566999999,608.49
866,9193472,10606,4489,0.9978978037834167,0.15,0.0033659237,-0.03680870682001114,2.0214399999999994e-05,0.0269775390625,-0.01028681718162261,-3.143548332154751,17952,0.02469965338241309,51.77337803,608.57
866,9195520,10608,4490,0.9969210028648376,0.15,0.0052320883,-0.038715336471796036,2.0163199999999994e-05,0.0594482421875,-0.0115368051774567,-3.1271876469254494,17956,0.024603093159385026,51.773420779999995,608.93
866,9197568,10611,4491,0.9960342049598694,0.15,0.004734996,-0.03503146395087242,2.011199999999999e-05,0.0428466796875,-0.01223615399794653,-3.3153927102684975,17960,0.03945482795825228,51.911058559999994,608.77
866,9199616,10613,4492,0.9983283281326294,0.15,0.003417945,-0.04132363945245743,2.006079999999999e-05,0.0269775390625,-0.009926814898790326,-3.35643407702446,17964,0.02716634835815057,51.930060590000004,608.88
866,9201664,10616,4493,0.9970304369926453,0.15,0.0034258063,-0.03160420060157776,2.000959999999999e-05,0.0343017578125,-0.010751996625913307,-3.145538307726383,17968,0.03541004529688507,52.019608819999995,608.82
