time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/loss,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
1056,236,122,249856,0.08322586119174957,-0.0016730465576983988,0.7888469696044922,0.15,0.31687306985259056,0.0230712890625,-5.3454922288656235,9.504384000000001e-05,484,0.0013982487,19.071591719999997,640.84
1055,238,123,251904,0.04525289312005043,-0.002893644690630026,0.9100878238677979,0.15,0.2245673662982881,0.041015625,-5.347521632909775,9.500288e-05,488,0.003020855,19.3379184,644.6
1056,240,124,253952,0.04053586721420288,-0.002990564040374011,0.9025448560714722,0.15,0.21337997494265437,0.03466796875,-5.392780542373657,9.496192e-05,492,0.002837576,19.43996892,646.22
1056,242,125,256000,0.04092362895607948,-0.0022049388935556635,0.89817214012146,0.15,0.21471973042935133,0.011962890625,-5.364022970199585,9.492096e-05,496,0.0014937553,19.43996892,646.22
1056,244,126,258048,0.0797363892197609,-0.0017252535180887207,0.8107270002365112,0.15,0.2901450381614268,0.0218505859375,-5.3458815813064575,9.488e-05,500,0.0018094041,19.329040690000003,643.43
1055,246,127,260096,0.06050577014684677,-0.0019043721404159442,0.7959263324737549,0.15,0.2850951552391052,0.01123046875,-5.336580187082291,9.483904000000001e-05,504,0.0011413628,19.403349519999995,643.21
1055,248,128,262144,0.016330629587173462,-0.0007202457345556468,0.9052670001983643,0.15,0.21379153802990913,0.01318359375,-5.360721185803413,9.479808e-05,508,0.0006910603,19.3869045,641.57
1055,250,129,264192,0.029345959424972534,-0.0011950755724683404,0.9043561816215515,0.15,0.19744030013680458,0.015380859375,-5.373497366905212,9.475712000000001e-05,512,0.0016203879,19.57871719,645.87
1055,252,130,266240,0.0956016480922699,-0.004847086776862852,0.8490868806838989,0.15,0.26382980262860656,0.019775390625,-5.339905485510826,9.471616e-05,516,0.0020188256,19.52887019,642.26
1055,254,131,268288,0.026920322328805923,-0.003001697958097793,0.8801277279853821,0.15,0.22038981085643172,0.022216796875,-5.36098250746727,9.467520000000001e-05,520,0.0027581677,19.50759839,640.35
1055,256,132,270336,0.05399831384420395,-0.0015629773552063853,0.9073342084884644,0.15,0.21918658167123795,0.018310546875,-5.347991913557053,9.463424e-05,524,0.0021325364,19.306567039999997,632.42
1055,258,133,272384,0.021824318915605545,-0.0015982589102350175,0.903913140296936,0.15,0.20478153182193637,0.0367431640625,-5.344341263175011,9.459328e-05,528,0.0021017196,19.21869611,629.09
1055,259,134,274432,0.035925690084695816,-0.0019811990059679374,0.8878318071365356,0.15,0.21971660247072577,0.0341796875,-5.352499693632126,9.455232000000001e-05,532,0.0017201041,19.1788165,628.68
1055,261,135,276480,0.04325670748949051,-0.0020329685939941555,0.830319344997406,0.15,0.23440072732046247,0.02099609375,-5.3426743298769,9.451136e-05,536,0.0018296625,19.17876485,627.91
1055,263,136,278528,0.05361505225300789,-0.0016895826847758144,0.8433747291564941,0.15,0.24377598334103823,0.06298828125,-5.356097042560577,9.447040000000001e-05,540,0.0049741846,19.33114716,630.8
1055,265,137,280576,0.11781798303127289,-0.0012723339314106852,0.8180005550384521,0.15,0.3244234900921583,0.0325927734375,-5.346182942390442,9.442944e-05,544,0.0011469913,19.472537339999995,630.4
1055,267,138,282624,0.04894528537988663,-0.0015923108730930835,0.8943941593170166,0.15,0.2020830768160522,0.01806640625,-5.362688213586807,9.438848e-05,548,0.0015329414,19.528157259999997,631.14
1055,269,139,284672,0.029606252908706665,-0.0024264800740638748,0.8393405675888062,0.15,0.20099474443122745,0.0382080078125,-5.357507765293121,9.434752e-05,552,0.0030482817,19.586170659999997,630.71
1055,271,140,286720,0.07956444472074509,-0.0011626131454249844,0.7471973896026611,0.15,0.303039891179651,0.033447265625,-5.354561910033226,9.430656e-05,556,0.0016692891,19.61924142,628.84
1055,273,141,288768,0.05548888072371483,-0.0022462245397036895,0.8493223786354065,0.15,0.2437911033630371,0.0260009765625,-5.362563714385033,9.426560000000001e-05,560,0.0028131423,19.538521,626.45
1055,275,142,290816,0.05152179300785065,-0.002495439533959143,0.8422242403030396,0.15,0.25751723861321807,0.032470703125,-5.363870561122894,9.422464e-05,564,0.0035445604,19.69932104,629.12
1055,277,143,292864,0.06264805793762207,-0.0024096659617498517,0.8449868559837341,0.15,0.3213197267614305,0.0635986328125,-5.372562035918236,9.418368000000001e-05,568,0.0032689339,19.823291830000002,630.9
1055,279,144,294912,0.04161433130502701,-0.001041757692291867,0.8812080025672913,0.15,0.21976013202220201,0.025634765625,-5.374927580356598,9.414272e-05,572,0.0016566557,19.976484570000004,632.82
1055,281,145,296960,0.035788968205451965,-0.0012510567612480372,0.8591850399971008,0.15,0.2188853370025754,0.03076171875,-5.389392197132111,9.410176000000001e-05,576,0.0014473681,19.899774620000002,631.13
