time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/loss,train/n_updates,train/value_loss,train/entropy_loss,train/clip_range,rollout/ep_len_mean,train/approx_kl,rollout/ep_rew_mean,train/learning_rate
2054144,898,1003,2286,-0.01087188205565326,0.1624755859375,0.9841160774230957,-0.01603584736585617,4008,0.19709445093758404,-4.702796146273613,0.15,177.17,0.009680416,-28.25,0.0001986976
2056192,898,1004,2288,-0.012529837840702385,0.1568603515625,0.9874575138092041,0.009915158152580261,4012,0.170367615763098,-4.689112916588783,0.15,176.6,0.010285147,-28.07,0.0001986464
2058240,898,1005,2291,-0.014306047785794362,0.1519775390625,0.9917606115341187,-0.0216757133603096,4016,0.12988129793666303,-4.727736905217171,0.15,177.05,0.009957161,-28.21,0.0001985952
2060288,898,1006,2293,-0.0125083620660007,0.1524658203125,0.9882954955101013,-0.00506427139043808,4020,0.1837305543012917,-4.687885567545891,0.15,177.23,0.007887867,-28.33,0.00019854400000000002
2062336,898,1007,2295,-0.01754671243543271,0.1898193359375,0.9899159669876099,0.007447987794876099,4024,0.14796133758500218,-4.718627959489822,0.15,178.04,0.010818255,-28.27,0.0001984928
2064384,898,1008,2297,-0.01639288339356426,0.18505859375,0.9900695085525513,0.004707947373390198,4028,0.14081356953829527,-4.71289823949337,0.15,178.26,0.011827586,-28.36,0.0001984416
2066432,898,1009,2300,-0.014579180729924701,0.1790771484375,0.9905275106430054,-0.014155462384223938,4032,0.13770031509920955,-4.640013933181763,0.15,177.63,0.012674853,-28.25,0.0001983904
2068480,898,1010,2302,-0.013398336712270975,0.1846923828125,0.9893949627876282,-0.005695030093193054,4036,0.14719194127246737,-4.675920069217682,0.15,177.23,0.011264866,-28.05,0.0001983392
2070528,898,1011,2304,-0.013566970243118703,0.14013671875,0.9884679317474365,-0.0024501457810401917,4040,0.15796228335238993,-4.659542083740234,0.15,177.53,0.009204585,-28.21,0.000198288
2072576,898,1012,2306,-0.013108388433465734,0.1719970703125,0.9882795810699463,-0.02300211787223816,4044,0.16861996846273541,-4.679886907339096,0.15,177.69,0.013046149,-28.14,0.0001982368
2074624,898,1013,2309,-0.01264134657685645,0.1588134765625,0.9869868755340576,0.025876864790916443,4048,0.183653905056417,-4.70562931895256,0.15,177.77,0.008658044,-28.19,0.00019818560000000002
2076672,898,1014,2311,-0.014114085555775091,0.1861572265625,0.9887407422065735,0.01961059868335724,4052,0.16192706557922065,-4.682859286665916,0.15,177.84,0.00964549,-28.28,0.00019813439999999998
2078720,898,1015,2313,-0.015039843274280429,0.1507568359375,0.9906443953514099,-0.000636667013168335,4056,0.14872407354414463,-4.68967966735363,0.15,177.7,0.0082050385,-28.16,0.0001980832
2080768,898,1016,2316,-0.01394205167889595,0.1744384765625,0.9899394512176514,0.03611687570810318,4060,0.14346928684972227,-4.716210708022118,0.15,177.83,0.009621371,-28.1,0.00019803199999999998
2082816,898,1017,2318,-0.012612471386091784,0.1510009765625,0.9873837232589722,0.0016073137521743774,4064,0.16745298355817795,-4.70675154030323,0.15,177.67,0.011196221,-28.15,0.00019798080000000003
2084864,898,1018,2320,-0.014285629105870612,0.1199951171875,0.9916110038757324,0.01295527070760727,4068,0.14019776275381446,-4.6977906078100204,0.15,177.32,0.008203657,-28.1,0.0001979296
2086912,898,1019,2323,-0.01454710694088135,0.13916015625,0.988427460193634,-0.001784496009349823,4072,0.14302360801957548,-4.704805314540863,0.15,177.84,0.009112708,-27.99,0.00019787840000000002
2088960,898,1020,2325,-0.012197575968457386,0.134521484375,0.9857780933380127,0.029800288379192352,4076,0.18082104390487075,-4.690370798110962,0.15,177.58,0.00846418,-27.93,0.00019782720000000002
2091008,898,1021,2327,-0.013496617961209267,0.1671142578125,0.9903438091278076,-0.011234652251005173,4080,0.1467903763987124,-4.71094810962677,0.15,177.79,0.009732449,-27.95,0.000197776
2093056,898,1022,2330,-0.008549668753403239,0.1944580078125,0.9530882239341736,0.09879548847675323,4084,0.33464090898633003,-4.643937200307846,0.15,177.26,0.012661197,-27.66,0.0001977248
2095104,898,1023,2332,-0.015991110471077263,0.1605224609375,0.9888657927513123,-0.011251632124185562,4088,0.15381821617484093,-4.71827732026577,0.15,178.01,0.008787605,-27.98,0.0001976736
2097152,898,1024,2334,-0.014225024526240304,0.1669921875,0.9895070791244507,0.030087105929851532,4092,0.15906062256544828,-4.66731821000576,0.15,178.24,0.008637348,-28.17,0.0001976224
2099200,898,1025,2336,-0.013584848085884005,0.1361083984375,0.9878166913986206,-0.006141148507595062,4096,0.16007673274725676,-4.703526869416237,0.15,177.47,0.01014762,-27.99,0.0001975712
2101248,898,1026,2339,-0.009420526825124398,0.1798095703125,0.9873054027557373,-0.01781618967652321,4100,0.1460277270525694,-4.704360410571098,0.15,177.88,0.009628394,-28.05,0.00019752
2103296,898,1027,2341,-0.015055681724334136,0.15234375,0.990783154964447,-0.0017718598246574402,4104,0.1408949859905988,-4.652393460273743,0.15,177.46,0.008608358,-28.05,0.00019746880000000002
2105344,898,1028,2343,-0.013432441657641903,0.1441650390625,0.9894750118255615,0.014575138688087463,4108,0.15109287854284048,-4.694521531462669,0.15,177.35,0.008615489,-27.96,0.0001974176
2107392,898,1029,2346,-0.013584100845037028,0.13037109375,0.9814424514770508,0.04125890135765076,4112,0.24675509752705693,-4.65764194726944,0.15,177.87,0.009415548,-28.23,0.0001973664
2109440,898,1030,2348,-0.014023706637090072,0.16015625,0.9853636622428894,0.004119180142879486,4116,0.17872801376506686,-4.643309533596039,0.15,176.94,0.011445804,-28.28,0.0001973152
2111488,898,1031,2350,-0.017266136535909027,0.18212890625,0.9896347522735596,-0.011803187429904938,4120,0.1536254717502743,-4.63678203523159,0.15,176.55,0.010849553,-27.93,0.000197264
2113536,898,1032,2352,-0.015446579578565434,0.1949462890625,0.9851512908935547,0.021377727389335632,4124,0.17397945025004447,-4.686560243368149,0.15,176.85,0.012087373,-28.24,0.0001972128
2115584,898,1033,2355,-0.013021222577663139,0.159912109375,0.989867627620697,0.017478469759225845,4128,0.1448573579546064,-4.694985494017601,0.15,177.46,0.010165799,-28.15,0.0001971616
2117632,898,1034,2357,-0.014208130291081034,0.18017578125,0.9884524345397949,0.0695716068148613,4132,0.17257353919558227,-4.637234270572662,0.15,177.74,0.010810085,-28.28,0.0001971104
2119680,898,1035,2359,-0.012442817474948242,0.125,0.9867309927940369,-0.01845800131559372,4136,0.16714909626170993,-4.669059321284294,0.15,177.08,0.00837688,-28.21,0.00019705919999999999
2121728,898,1036,2362,-0.012596614891663194,0.1431884765625,0.9914434552192688,0.014209605753421783,4140,0.13715188717469573,-4.674633294343948,0.15,177.16,0.008536784,-28.2,0.000197008
2123776,898,1037,2364,-0.01366213636356406,0.1739501953125,0.988935649394989,0.03284623473882675,4144,0.15359266474843025,-4.641787827014923,0.15,176.85,0.010790365,-28.26,0.0001969568
2125824,898,1038,2366,-0.01167065920890309,0.179931640625,0.9802945256233215,0.0013323277235031128,4148,0.201233743224293,-4.669578164815903,0.15,176.79,0.009832997,-28.1,0.00019690560000000003
