time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/entropy_loss,train/value_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
4815,2062,876,4222976,0.15,-0.03042370532057248,0.00014447680000000002,0.8890700340270996,0.277587890625,8244,0.019505254924297333,-3.5236005410552025,0.2974001825787127,0.04164833,70.08000339,1111.63
4817,2063,876,4225024,0.15,-0.024136768013704568,0.0001444256,0.9430476427078247,0.2547607421875,8248,0.021192915737628937,-3.656935431063175,0.26416637608781457,0.030858923,70.36993715000001,1113.46
4819,2064,877,4227072,0.15,-0.027691541123203933,0.0001443744,0.9525024890899658,0.2581787109375,8252,0.005060650408267975,-3.5028629153966904,0.23263857420533895,0.03546667,70.36993715000001,1113.46
4822,2065,877,4229120,0.15,-0.03484141096123494,0.00014432319999999998,0.9682395458221436,0.2901611328125,8256,-0.0603693425655365,-3.617934077978134,0.1084836246445775,0.047722068,70.35143043000001,1111.33
4824,2066,877,4231168,0.15,-0.02628716084291227,0.000144272,0.9540873169898987,0.296875,8260,-0.022160619497299194,-3.691823936998844,0.19105055159889162,0.03458038,70.33567950000001,1110.78
4826,2067,877,4233216,0.15,-0.026668565085856244,0.00014422079999999997,0.9534803628921509,0.2911376953125,8264,0.008097216486930847,-3.5753539130091667,0.2210378237068653,0.039867945,70.32169359000001,1109.19
4828,2068,877,4235264,0.15,-0.02906267557409592,0.00014416960000000002,0.9593175053596497,0.2747802734375,8268,-0.03913767263293266,-3.764703191816807,0.1318729871418327,0.039388306,70.48560354,1110.84
4831,2069,877,4237312,0.15,-0.033390176424290985,0.0001441184,0.9726961255073547,0.2889404296875,8272,-0.03281386196613312,-3.7548026964068413,0.18358846800401807,0.04039254,70.45810478,1111.45
4833,2070,877,4239360,0.15,-0.03223904047627002,0.00014406720000000002,0.9738609790802002,0.2864990234375,8276,-0.04590778797864914,-3.539273425936699,0.13332859589718282,0.045047656,70.43800496,1113.02
4835,2071,877,4241408,0.15,-0.026911778608337045,0.000144016,0.9432474374771118,0.279052734375,8280,-0.020566701889038086,-3.738117642700672,0.21380627318285406,0.036127616,70.49016194,1110.27
4837,2072,877,4243456,0.15,-0.030139717418933287,0.0001439648,0.9667015671730042,0.2567138671875,8284,-0.01757768541574478,-3.577544964849949,0.1930323401466012,0.03233933,71.08830623,1120.12
4840,2073,877,4245504,0.15,-0.029293198429513723,0.0001439136,0.9632470011711121,0.2818603515625,8288,-0.006680570542812347,-3.664400093257427,0.22642314294353127,0.041428156,71.08830623,1120.12
4842,2074,877,4247552,0.15,-0.03007730227545835,0.0001438624,0.945090115070343,0.31787109375,8292,-0.02165169268846512,-3.7381063625216484,0.2243734817020595,0.042422615,71.28598467000002,1124.41
4844,2075,877,4249600,0.15,-0.030487801544950344,0.0001438112,0.9088819026947021,0.2666015625,8296,0.020676985383033752,-3.735350050032139,0.35323224728927016,0.03499855,71.04507978999999,1122.09
4847,2076,877,4251648,0.15,-0.03014540861477144,0.00014376,0.9607380628585815,0.2779541015625,8300,-0.02777887135744095,-3.618058927357197,0.23312416300177574,0.031668246,70.98989522,1121.21
4849,2077,877,4253696,0.15,-0.028145880671218038,0.0001437088,0.9494574666023254,0.271240234375,8304,0.01643780618906021,-3.593957021832466,0.29333345126360655,0.042510845,71.05195484,1120.89
4851,2078,877,4255744,0.15,-0.029996334735187702,0.0001436576,0.9651598930358887,0.287353515625,8308,-0.00594116747379303,-3.7285780757665634,0.19359651883132756,0.03546065,71.23218050999999,1124.54
4854,2079,877,4257792,0.15,-0.030000056576682255,0.0001436064,0.931359052658081,0.262939453125,8312,-0.007129952311515808,-3.6495657339692116,0.26249804347753525,0.040958848,71.23218050999999,1124.54
4856,2080,877,4259840,0.15,-0.028042285179253668,0.0001435552,0.8967578411102295,0.25341796875,8316,0.012305952608585358,-3.6007585376501083,0.2790930075570941,0.0376778,71.33937187,1125.65
4858,2081,877,4261888,0.15,-0.029413278825813904,0.00014350400000000003,0.9136265516281128,0.2276611328125,8320,0.012018315494060516,-3.6582503765821457,0.3178168432787061,0.028426941,70.87924559000001,1118.53
4860,2082,877,4263936,0.15,-0.02373237200663425,0.0001434528,0.9138212203979492,0.2266845703125,8324,0.0685410276055336,-3.6160982996225357,0.390526853967458,0.029588912,71.0824283,1120.08
4863,2083,877,4265984,0.15,-0.029308602286619134,0.00014340160000000002,0.9540570378303528,0.2523193359375,8328,-0.017862334847450256,-3.661538690328598,0.24513776041567326,0.03642086,70.84899317,1116.12
4865,2084,877,4268032,0.15,-0.027264922711765394,0.0001433504,0.9140509963035583,0.2783203125,8332,0.014896772801876068,-3.673557035624981,0.279825821518898,0.035992227,70.24818707,1106.79
4867,2085,877,4270080,0.15,-0.024694262247066945,0.0001432992,0.9154855012893677,0.2496337890625,8336,0.03839486837387085,-3.57831921428442,0.43229782674461603,0.03557947,70.12203504,1104.71
4869,2086,877,4272128,0.15,-0.025398864469025284,0.00014324799999999998,0.9328701496124268,0.260009765625,8340,0.09186519682407379,-3.5463735833764076,0.36170878587290645,0.033657573,70.01603126,1102.36
4872,2087,877,4274176,0.15,-0.025289763638284057,0.0001431968,0.9434675574302673,0.2572021484375,8344,0.03137296438217163,-3.6059908270835876,0.3362969355657697,0.032794118,69.8122749,1100.55
4874,2088,877,4276224,0.15,-0.028372797300107777,0.0001431456,0.9106965661048889,0.283447265625,8348,0.03205132484436035,-3.633873000741005,0.34990739030763507,0.03826724,69.8122749,1100.55
4876,2089,877,4278272,0.15,-0.033982550899963826,0.00014309440000000002,0.870490550994873,0.2686767578125,8352,-0.01182626187801361,-3.547340966761112,0.23850331944413483,0.03683336,69.25773588000001,1092.63
4878,2090,877,4280320,0.15,-0.027813382941531017,0.0001430432,0.9325785636901855,0.2193603515625,8356,0.009460747241973877,-3.5881300419569016,0.2797306892462075,0.028817326,69.26553457000001,1094.58
4881,2091,877,4282368,0.15,-0.027518756658537313,0.00014299200000000002,0.9466506838798523,0.27001953125,8360,-0.005279615521430969,-3.7553749457001686,0.24656567675992846,0.036028285,69.31349898,1094.28
4883,2092,877,4284416,0.15,-0.03210201457841322,0.0001429408,0.954176664352417,0.28076171875,8364,-0.027844615280628204,-3.65039224922657,0.18673259438946843,0.04651374,69.28015305000001,1094.93
4885,2093,877,4286464,0.15,-0.02946676200372167,0.0001428896,0.9478055834770203,0.2650146484375,8368,-0.010978274047374725,-3.7727799639105797,0.20183114893734455,0.031992927,69.69177040000001,1101.34
4888,2094,877,4288512,0.15,-0.028725464653689414,0.0001428384,0.9241166710853577,0.2591552734375,8372,0.015550561249256134,-3.6698468178510666,0.34367115749046206,0.030828994,69.92937679,1106.04
4890,2095,877,4290560,0.15,-0.02039967497694306,0.0001427872,0.9415982961654663,0.2650146484375,8376,0.05101148039102554,-3.7165856286883354,0.36081067100167274,0.03462618,69.65348402000001,1101.22
4892,2096,877,4292608,0.15,-0.022271202295087278,0.000142736,0.930189847946167,0.2918701171875,8380,0.03472623974084854,-3.671738088130951,0.3617381383664906,0.035547487,69.73008961,1104.28
4895,2097,877,4294656,0.15,-0.027777160896221176,0.0001426848,0.9080638885498047,0.2847900390625,8384,0.08140064775943756,-3.6563275903463364,0.38269627559930086,0.0385222,69.77502053,1106.32
4897,2098,877,4296704,0.15,-0.02790915296645835,0.0001426336,0.9087615013122559,0.310546875,8388,0.003567829728126526,-3.4759979620575905,0.2838240577839315,0.040926285,69.45052114,1104.07
4900,2099,877,4298752,0.15,-0.03246525696886238,0.0001425824,0.935721755027771,0.2763671875,8392,0.001297883689403534,-3.530111685395241,0.29841870395466685,0.04054182,69.03397679,1097.35
4902,2100,877,4300800,0.15,-0.02769085532054305,0.0001425312,0.8883862495422363,0.2574462890625,8396,0.036043062806129456,-3.5220883041620255,0.3422431624494493,0.03452143,69.09608948,1098.35
4904,2101,877,4302848,0.15,-0.024173542042262852,0.00014248,0.9516202211380005,0.239501953125,8400,-0.021438419818878174,-3.599580258131027,0.18115033442154527,0.036233358,69.26480072,1101.1
