time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
4091904,4001,1998,1022,0.0044111907,-0.00923099138890393,9.10144e-05,-4.319936767220497,0.9152475595474243,0.1,0.29439190682023764,0.1121826171875,0.08224761486053467,7988,58.950823709999995,962.82
4093952,4003,1999,1022,0.004813073,-0.004338621438364498,9.080959999999999e-05,-4.414293140172958,0.9270299077033997,0.1,0.3000106140971184,0.130859375,0.07044082880020142,7992,58.87771138,961.0
4096000,4005,2000,1022,0.0037047416,-0.003932225466996897,9.060479999999999e-05,-4.339480951428413,0.9492632746696472,0.1,0.2915098057128489,0.1029052734375,0.06604374945163727,7996,58.84001454,960.52
4098048,4007,2001,1022,0.0030531827,-0.006648712340393104,9.039999999999999e-05,-4.304652437567711,0.9105568528175354,0.1,0.3128622779622674,0.091064453125,0.08538222312927246,8000,58.603522600000005,957.53
4100096,4009,2002,1022,0.00420131,-0.004946412431309,9.019519999999997e-05,-4.445727705955505,0.9104027152061462,0.1,0.33448997559025884,0.125,0.13672935962677002,8004,58.66857369,957.38
4102144,4011,2003,1022,0.003529711,-0.009146689117187634,8.999040000000003e-05,-4.49421089887619,0.9626373052597046,0.1,0.2830552360974252,0.0960693359375,0.04331043362617493,8008,58.399762339999995,953.93
4104192,4013,2004,1022,0.0045772986,-0.010966163739794865,8.978560000000002e-05,-4.298094317317009,0.9651964902877808,0.1,0.1510211022105068,0.111572265625,0.006948884576559067,8012,58.399762339999995,953.93
4106240,4015,2005,1022,0.0026751864,-0.00796580789028667,8.958080000000002e-05,-4.416456118226051,0.8735536932945251,0.1,0.26753771724179387,0.085693359375,0.05157474800944328,8016,58.42341498,954.41
4108288,4017,2006,1022,0.004468959,-0.007097548033925705,8.9376e-05,-4.441810488700867,0.8980022072792053,0.1,0.3232912006787956,0.1187744140625,0.11822832375764847,8020,58.35580781000001,954.04
4110336,4019,2007,1022,0.0039394423,-0.007269444249686785,8.91712e-05,-4.394443228840828,0.9306583404541016,0.1,0.3021521242335439,0.1207275390625,0.05410834774374962,8024,58.391308089999995,954.54
4112384,4021,2008,1022,0.0029745218,-0.008868463337421417,8.89664e-05,-4.469237759709358,0.9678272604942322,0.1,0.15993263642303646,0.0924072265625,0.009408548474311829,8028,58.59896457999999,959.42
4114432,4023,2009,1022,0.005841677,-0.006719828234054148,8.87616e-05,-4.434915602207184,0.9546366930007935,0.1,0.3122997600585222,0.1226806640625,0.03958962857723236,8032,58.67968433,960.82
4116480,4025,2010,1022,0.007832354,-0.005746321563492529,8.85568e-05,-4.388318568468094,0.9247108101844788,0.1,0.3292207131162286,0.1446533203125,0.04474223777651787,8036,58.19164962,955.65
4118528,4027,2011,1022,0.0028634097,-0.008153670438332483,8.835199999999998e-05,-4.345721051096916,0.9670916795730591,0.1,0.22333729546517134,0.076904296875,0.038743581622838974,8040,58.366047759999994,958.46
4120576,4029,2012,1022,0.0027859749,-0.006523546937387437,8.814719999999998e-05,-4.364112958312035,0.9329602718353271,0.1,0.2986156237311661,0.08349609375,0.04062903672456741,8044,58.366047759999994,958.46
4122624,4031,2013,1022,0.0036876884,-0.006024349335348234,8.794239999999998e-05,-4.313431471586227,0.8494474291801453,0.1,0.26467777136713266,0.102294921875,0.07115612924098969,8048,58.366047759999994,958.46
4124672,4033,2014,1022,0.0025109565,-0.006681300554191694,8.773760000000003e-05,-4.34420420229435,0.869484543800354,0.1,0.34641418932005763,0.0797119140625,0.06976631283760071,8052,58.35404047000001,958.32
4126720,4035,2015,1022,0.003984305,-0.007112373859854415,8.753280000000002e-05,-4.466007679700851,0.8990286588668823,0.1,0.4531536642462015,0.102783203125,0.16989992558956146,8056,58.09405181,955.3
4128768,4037,2016,1022,0.0034464172,-0.005485106215928681,8.732800000000001e-05,-4.469643369317055,0.9232824444770813,0.1,0.5254366919398308,0.1021728515625,0.1154925525188446,8060,58.06409733,953.28
4130816,4039,2017,1022,0.0045394255,-0.006138969416497275,8.712320000000001e-05,-4.389920011162758,0.958271861076355,0.1,0.28466264298185706,0.131103515625,0.052838608622550964,8064,57.64115771000001,946.87
4132864,4041,2018,1022,0.0028026958,-0.009873733331914991,8.691840000000001e-05,-4.2909852266311646,0.9392255544662476,0.1,0.31790327839553356,0.0887451171875,0.03913157433271408,8068,57.65759694000001,946.24
4134912,4043,2019,1022,0.0033978391,-0.005583390448009595,8.671360000000001e-05,-4.251687869429588,0.795701801776886,0.1,0.3719096705317497,0.1014404296875,0.16479936242103577,8072,57.48831688,944.46
4136960,4045,2020,1022,0.0036257834,-0.005536102544283494,8.65088e-05,-4.365940675139427,0.8130280375480652,0.1,0.3954056687653065,0.100341796875,0.05659718066453934,8076,57.181565559999996,939.65
4139008,4047,2021,1022,0.0023437242,-0.005733757512643933,8.630399999999999e-05,-4.329404979944229,0.9141709208488464,0.1,0.2930138213559985,0.0765380859375,0.0294247567653656,8080,57.09465736,939.3
4141056,4049,2022,1022,0.0030149338,-0.007089335427735932,8.609919999999999e-05,-4.385225713253021,0.8985531330108643,0.1,0.31547443894669414,0.0858154296875,0.0670740157365799,8084,56.6967161,931.73
4143104,4051,2023,1022,0.0040700026,-0.007688440673518926,8.589439999999999e-05,-4.52054999768734,0.920337975025177,0.1,0.3146649645641446,0.1182861328125,0.10060911625623703,8088,56.869656670000005,934.85
4145152,4053,2024,1022,0.004068993,-0.00816832113196142,8.568959999999997e-05,-4.404552206397057,0.9701331853866577,0.1,0.25125160394236445,0.1268310546875,0.04956981539726257,8092,57.29226831999999,940.58
4147200,4055,2025,1022,0.003696205,-0.009570800175424665,8.548480000000003e-05,-4.351536318659782,0.9607065320014954,0.1,0.3236219631507993,0.1092529296875,0.11282374709844589,8096,57.508591749999994,943.87
4149248,4057,2026,1022,0.0031949917,-0.009620416181860492,8.528000000000002e-05,-4.281278982758522,0.9586815237998962,0.1,0.16731594502925873,0.089111328125,0.020770885050296783,8100,57.33695118,940.35
4151296,4059,2027,1022,0.005947166,-0.006597995437914506,8.507520000000002e-05,-4.279756933450699,0.8364580869674683,0.1,0.56783776730299,0.1263427734375,0.21455340087413788,8104,57.09897262999999,936.96
4153344,4061,2028,1022,0.005774241,-0.0020223091123625636,8.487040000000002e-05,-4.324437737464905,0.8593888878822327,0.1,0.5525372475385666,0.1446533203125,0.20127834379673004,8108,56.43228001000001,924.87
4155392,4063,2029,1022,0.00339567,-0.008854701824020594,8.46656e-05,-4.452183961868286,0.9560003280639648,0.1,0.2180636851117015,0.091064453125,0.0031089037656784058,8112,56.23046629,921.78
4157440,4065,2030,1022,0.0037628661,-0.00815498543670401,8.44608e-05,-4.370699092745781,0.9359842538833618,0.1,0.28016716334968805,0.1009521484375,0.07105362415313721,8116,56.21573479,921.56
4159488,4067,2031,1022,0.004247135,-0.0070155849534785375,8.4256e-05,-4.398324355483055,0.9303874373435974,0.1,0.31742529617622495,0.1177978515625,0.062163207679986954,8120,56.049176079999995,918.78
4161536,4069,2032,1022,0.002668855,-0.006568699638592079,8.40512e-05,-4.398898974061012,0.9513915777206421,0.1,0.236146645154804,0.0885009765625,0.07005996257066727,8124,55.70672329,914.8
4163584,4071,2033,1022,0.0020416812,-0.007041348406346515,8.384639999999998e-05,-4.388855114579201,0.9540768265724182,0.1,0.23976238584145904,0.05712890625,0.07282616198062897,8128,56.38138353999999,923.35
4165632,4073,2034,1022,0.0032893016,-0.008253015083028004,8.364159999999998e-05,-4.40584135055542,0.966130256652832,0.1,0.19284104788675904,0.0831298828125,0.01317424327135086,8132,56.464226569999994,925.29
4167680,4075,2035,1022,0.0031394307,-0.004968669934896752,8.343679999999998e-05,-4.347462877631187,0.9657393097877502,0.1,0.19231972540728748,0.1259765625,0.024064362049102783,8136,56.178586079999995,920.56
4169728,4077,2036,1022,0.0032614176,-0.00858674943447113,8.323199999999998e-05,-4.367441728711128,0.9410205483436584,0.1,0.28737170016393065,0.090087890625,0.09086242318153381,8140,56.636916729999996,926.85
4171776,4079,2037,1022,0.004616264,-0.007478178391465917,8.302720000000003e-05,-4.3534563183784485,0.9363623857498169,0.1,0.32129704067483544,0.1378173828125,0.07300058752298355,8144,56.22536099999999,920.22
4173824,4081,2038,1022,0.003213242,-0.006325187394395471,8.282240000000002e-05,-4.404307171702385,0.9326621294021606,0.1,0.4252556096762419,0.0911865234375,0.15551139414310455,8148,56.10908885,918.78
4175872,4083,2039,1022,0.003323575,-0.006183919671457261,8.261760000000001e-05,-4.269540905952454,0.9061647057533264,0.1,0.3851263439282775,0.0914306640625,0.09347952902317047,8152,55.907582430000005,916.25
4177920,4085,2040,1022,0.0026901686,-0.005402513226727024,8.241280000000001e-05,-4.287352725863457,0.9225001335144043,0.1,0.3962065866217017,0.06689453125,0.13310019671916962,8156,56.14070409000001,919.51
4179968,4087,2041,1022,0.0039845677,-0.006110080721555278,8.220800000000001e-05,-4.36372534930706,0.9148224592208862,0.1,0.3976769931614399,0.0926513671875,0.12369751185178757,8160,56.04059650999999,919.07
4182016,4089,2042,1022,0.002404138,-0.004316118516726419,8.20032e-05,-4.348621696233749,0.9220625162124634,0.1,0.3817569147795439,0.0562744140625,0.14936955273151398,8164,56.40085097,924.02
4184064,4091,2043,1022,0.0030518025,-0.0012239170901011676,8.179839999999999e-05,-4.286230117082596,0.908653974533081,0.1,0.3938927110284567,0.104736328125,0.05260196328163147,8168,56.40085097,924.02
4186112,4093,2044,1022,0.004567814,-0.005778826234745793,8.159359999999999e-05,-4.439331844449043,0.8729815483093262,0.1,0.3476554015651345,0.1275634765625,0.08169130980968475,8172,56.04582165000001,918.77
4188160,4096,2045,1022,0.002431914,-0.006512254956760444,8.138879999999999e-05,-4.370667561888695,0.9340906739234924,0.1,0.3798619331791997,0.07470703125,0.12955842912197113,8176,56.41335806,923.52
4190208,4098,2046,1022,0.0024855416,-0.007463834423106164,8.118399999999997e-05,-4.433687165379524,0.9506413340568542,0.1,0.30071698129177094,0.0673828125,0.045897290110588074,8180,56.35611793,923.63
4192256,4100,2047,1022,0.0033435663,-0.004961949365679175,8.097919999999997e-05,-4.359373643994331,0.9368656277656555,0.1,0.37509825685992837,0.0894775390625,0.0580877959728241,8184,56.30774384,923.03
4194304,4102,2048,1022,0.0031690923,-0.007462841225787997,8.077440000000002e-05,-4.298688143491745,0.9411739110946655,0.1,0.2756003076210618,0.0797119140625,0.04042118042707443,8188,56.490270620000004,925.1
4196352,4104,2049,1022,0.0024753935,-0.004348617541836575,8.056960000000002e-05,-4.330307632684708,0.938090443611145,0.1,0.3136187335476279,0.069580078125,0.10836468636989594,8192,56.608113409999994,926.58
4198400,4106,2050,1022,0.0031390958,-0.008433037059148774,8.036480000000002e-05,-4.299442067742348,0.9140761494636536,0.1,0.3185936827212572,0.086181640625,0.14586195349693298,8196,55.906377590000005,916.14
4200448,4108,2051,1022,0.0070457924,-0.0033913495717570186,8.016e-05,-4.4184736758470535,0.8632321357727051,0.1,0.42363058449700475,0.130615234375,0.15834307670593262,8200,55.906377590000005,916.14
4202496,4110,2052,1022,0.0027713105,-0.007943226111819968,7.99552e-05,-4.37182092666626,0.9483935832977295,0.1,0.20466095441952348,0.081298828125,0.016601242125034332,8204,55.704773889999984,911.24
