time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
235520,1032,228,115,-0.006694543924822938,456,0.0002383264,0.008651938,0.057160571217536926,0.2,-5.210304111242294,0.23942205868661404,0.9234714508056641,0.054931640625,22.390282370000005,616.21
237568,1032,230,116,-0.006323272013105452,460,0.000238224,0.0065747853,0.007371619343757629,0.2,-5.251362204551697,0.1698088855482638,0.9566571712493896,0.0489501953125,22.221104340000007,612.46
239616,1032,232,117,-0.005314711976097897,464,0.0002381216,0.006261428,0.03767721354961395,0.2,-5.160094782710075,0.21477004699409008,0.9369163513183594,0.0621337890625,22.219519960000003,612.59
241664,1032,234,118,-0.004603195731760934,468,0.0002380192,0.006223617,0.023449081927537918,0.2,-5.124959260225296,0.1954171950928867,0.9571178555488586,0.0457763671875,22.088747969999996,612.61
243712,1032,236,119,-0.0037527557142311707,472,0.00023791680000000002,0.009630054,0.012429311871528625,0.2,-5.128149077296257,0.21965579222887754,0.9272378087043762,0.0794677734375,22.235630920000002,617.78
245760,1032,238,120,-0.010861288945307024,476,0.0002378144,0.007985443,0.0616411417722702,0.2,-5.211281508207321,0.2537877792492509,0.90700763463974,0.0950927734375,22.491251100000003,622.8
247808,1032,240,121,-0.003811342510743998,480,0.000237712,0.008605082,0.01963820308446884,0.2,-5.2799187153577805,0.17353551252745092,0.9278057217597961,0.0570068359375,22.547287640000004,621.25
249856,1032,242,122,-0.005945478565990925,484,0.0002376096,0.0056378236,0.023791953921318054,0.2,-5.195092245936394,0.1621136423200369,0.958896815776825,0.0313720703125,22.99125167,630.82
251904,1031,244,123,-0.007798736885888502,488,0.00023750720000000002,0.00781469,0.02903377264738083,0.2,-5.1673542857170105,0.2513072853907943,0.9315646290779114,0.066162109375,22.985122079999996,628.19
253952,1031,246,124,-0.006957951496588066,492,0.0002374048,0.007913254,0.0773206353187561,0.2,-5.161170303821564,0.27484272280707955,0.9122468829154968,0.058349609375,23.08132658,631.01
256000,1031,248,125,-0.0064920551085378975,496,0.0002373024,0.00862968,0.039228059351444244,0.2,-5.1625617146492,0.21658254833891988,0.9404881000518799,0.0771484375,23.17999066,634.95
